,backend,basis_gate,q1,q2,error
513,ibm_kyiv,sx,115,,0.00015329119277514782
514,ibm_kyiv,sx,116,,0.0004278311899575395
515,ibm_kyiv,sx,117,,0.00012472085669637311
516,ibm_kyiv,sx,118,,0.0002012511991380754
517,ibm_kyiv,sx,119,,0.0005092142576940716
518,ibm_kyiv,sx,120,,0.00019994577697804035
519,ibm_kyiv,sx,121,,9.24564185671148e-05
520,ibm_kyiv,sx,122,,0.00018462755489422327
521,ibm_kyiv,sx,123,,0.0001416217181955324
522,ibm_kyiv,sx,124,,0.00021255806285088732
523,ibm_kyiv,sx,125,,0.0007353671774077385
524,ibm_kyiv,sx,126,,0.0003927456030400136
525,ibm_kyiv,x,0,,0.0001323951929770011
526,ibm_kyiv,x,1,,0.00019995595793613998
527,ibm_kyiv,x,2,,0.0001319866770732589
528,ibm_kyiv,x,3,,0.00016838775933896173
529,ibm_kyiv,x,4,,0.0005994139227358977
530,ibm_kyiv,x,5,,0.00016534191815511612
531,ibm_kyiv,x,6,,8.300612396370162e-05
